id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,task,taskLastChangedAt
01JVN0WPDZKD4GGFR46GERS5M0,01JVN0HG625XH382X4PTR2KFHP,2025-05-19T15:38:51.199661-04:00,true,2025-05-19T15:42:51.359985-04:00,01JVN0HG6F9FV33B7XAJZQDTRH,2025-05-19T15:38:51.199661-04:00,1,2025-05-19T15:38:51.199661-04:00,Round 2,2025-05-19T15:38:51.199661-04:00,1,2025-05-19T15:38:51.212257-04:00,true,2025-05-19T15:40:51.31966-04:00,bargaining,2025-05-19T15:38:51.199661-04:00
01JVN0WPE0EKSND0V85WK3GEB9,01JVN0HG625XH382X4PTR2KFHP,2025-05-19T15:38:51.200386-04:00,true,2025-05-19T15:44:51.407162-04:00,01JVN0HG6F9FV33B7XAJZQDTRH,2025-05-19T15:38:51.200386-04:00,2,2025-05-19T15:38:51.200386-04:00,Round 3,2025-05-19T15:38:51.200386-04:00,1,2025-05-19T15:38:51.215413-04:00,true,2025-05-19T15:42:51.365897-04:00,bargaining,2025-05-19T15:38:51.200386-04:00
01JVN0WPE0EKSND0V86AFPCGCV,01JVN0HG625XH382X4PTR2KFHP,2025-05-19T15:38:51.200677-04:00,false,2025-05-19T15:38:51.200677-04:00,01JVN0HG6F9FV33B7XAJZQDTRH,2025-05-19T15:38:51.200677-04:00,3,2025-05-19T15:38:51.200677-04:00,Round 4,2025-05-19T15:38:51.200677-04:00,1,2025-05-19T15:38:51.219495-04:00,true,2025-05-19T15:44:51.412451-04:00,bargaining,2025-05-19T15:38:51.200677-04:00
01JVN0WPE0EKSND0V8741SZ21Y,01JVN0HG625XH382X4PTR2KFHP,2025-05-19T15:38:51.200822-04:00,false,2025-05-19T15:38:51.200822-04:00,01JVN0HG6F9FV33B7XAJZQDTRH,2025-05-19T15:38:51.200822-04:00,4,2025-05-19T15:38:51.200822-04:00,Round 5,2025-05-19T15:38:51.200822-04:00,1,2025-05-19T15:38:51.222983-04:00,false,2025-05-19T15:38:51.200822-04:00,bargaining,2025-05-19T15:38:51.200822-04:00
01JVN0H2EJRGHSJNEKZXQ8164H,01JVMZGYJ85AM4Y1HBTW9BJ9SH,2025-05-19T15:32:30.290634-04:00,true,2025-05-19T15:34:30.40106-04:00,01JVMZGYJYHNJ38YB871XB1K70,2025-05-19T15:32:30.290634-04:00,0,2025-05-19T15:32:30.290634-04:00,Round 1,2025-05-19T15:32:30.290634-04:00,1,2025-05-19T15:32:30.300558-04:00,true,2025-05-19T15:32:30.338186-04:00,bargaining,2025-05-19T15:32:30.290634-04:00
01JVN0H2EMHSS9DNJQPT1P8G3D,01JVMZGYJ85AM4Y1HBTW9BJ9SH,2025-05-19T15:32:30.292153-04:00,true,2025-05-19T15:38:30.486716-04:00,01JVMZGYJYHNJ38YB871XB1K70,2025-05-19T15:32:30.292153-04:00,2,2025-05-19T15:32:30.292153-04:00,Round 3,2025-05-19T15:32:30.292153-04:00,1,2025-05-19T15:32:30.308404-04:00,true,2025-05-19T15:36:30.45008-04:00,bargaining,2025-05-19T15:32:30.292153-04:00
01JVN0H2EMHSS9DNJQRPCHB8JQ,01JVMZGYJ85AM4Y1HBTW9BJ9SH,2025-05-19T15:32:30.292781-04:00,true,2025-05-19T15:44:30.619778-04:00,01JVMZGYJYHNJ38YB871XB1K70,2025-05-19T15:32:30.292781-04:00,5,2025-05-19T15:32:30.292781-04:00,Round 6,2025-05-19T15:32:30.292781-04:00,1,2025-05-19T15:32:30.316538-04:00,true,2025-05-19T15:42:30.581645-04:00,bargaining,2025-05-19T15:32:30.292781-04:00
01JVN0WPDY41WPN2B42CQR9M4A,01JVN0HG625XH382X4PTR2KFHP,2025-05-19T15:38:51.198688-04:00,true,2025-05-19T15:40:51.31462-04:00,01JVN0HG6F9FV33B7XAJZQDTRH,2025-05-19T15:38:51.198688-04:00,0,2025-05-19T15:38:51.198688-04:00,Round 1,2025-05-19T15:38:51.198688-04:00,1,2025-05-19T15:38:51.208301-04:00,true,2025-05-19T15:38:51.24861-04:00,bargaining,2025-05-19T15:38:51.198688-04:00
01JVN0WPE1GJT0R459BBRJKYR2,01JVN0HG625XH382X4PTR2KFHP,2025-05-19T15:38:51.201664-04:00,false,2025-05-19T15:38:51.201664-04:00,01JVN0HG6F9FV33B7XAJZQDTRH,2025-05-19T15:38:51.201664-04:00,5,2025-05-19T15:38:51.201664-04:00,Round 6,2025-05-19T15:38:51.201664-04:00,1,2025-05-19T15:38:51.22618-04:00,false,2025-05-19T15:38:51.201664-04:00,bargaining,2025-05-19T15:38:51.201664-04:00
01JVN0H2EMHSS9DNJQQ8SK6VMH,01JVMZGYJ85AM4Y1HBTW9BJ9SH,2025-05-19T15:32:30.292292-04:00,true,2025-05-19T15:36:30.443604-04:00,01JVMZGYJYHNJ38YB871XB1K70,2025-05-19T15:32:30.292292-04:00,1,2025-05-19T15:32:30.292292-04:00,Round 2,2025-05-19T15:32:30.292292-04:00,1,2025-05-19T15:32:30.304323-04:00,true,2025-05-19T15:34:30.408742-04:00,bargaining,2025-05-19T15:32:30.292292-04:00
01JVN0H2EMHSS9DNJQQN2WT08M,01JVMZGYJ85AM4Y1HBTW9BJ9SH,2025-05-19T15:32:30.292538-04:00,true,2025-05-19T15:40:30.532277-04:00,01JVMZGYJYHNJ38YB871XB1K70,2025-05-19T15:32:30.292538-04:00,3,2025-05-19T15:32:30.292538-04:00,Round 4,2025-05-19T15:32:30.292538-04:00,1,2025-05-19T15:32:30.311293-04:00,true,2025-05-19T15:38:30.492515-04:00,bargaining,2025-05-19T15:32:30.292538-04:00
01JVN0H2EMHSS9DNJQR69RCRZY,01JVMZGYJ85AM4Y1HBTW9BJ9SH,2025-05-19T15:32:30.292673-04:00,true,2025-05-19T15:42:30.577209-04:00,01JVMZGYJYHNJ38YB871XB1K70,2025-05-19T15:32:30.292673-04:00,4,2025-05-19T15:32:30.292673-04:00,Round 5,2025-05-19T15:32:30.292673-04:00,1,2025-05-19T15:32:30.313634-04:00,true,2025-05-19T15:40:30.539884-04:00,bargaining,2025-05-19T15:32:30.292673-04:00
